date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:13	10549/10549	---M--	200	added ('OK')	image/png	etag:%222935-63c82345-dbafef3782b1319e;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/shape/arrow-curve-cl-2.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/shape/arrow-curve-cl-2.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:13	154031/154031	---M--	200	added ('OK')	image/jpeg	etag:%22259af-63c82345-46778e099974f546;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/facility/img-2.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/facility/img-2.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:14	14233/14233	---M--	200	added ('OK')	image/png	etag:%223799-63c82345-1d5d0d8a332f2044;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/testimonial/test-thumb-1.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/testimonial/test-thumb-1.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:14	15410/15410	---M--	200	added ('OK')	image/png	etag:%223c32-63c82345-20e04535c5de76c3;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/testimonial/test-thumb-2.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/testimonial/test-thumb-2.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:14	14630/14630	---M--	200	added ('OK')	image/png	etag:%223926-63c82345-ff36067d9acd8eff;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/testimonial/test-thumb-3.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/testimonial/test-thumb-3.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:15	107576/107576	---M--	200	added ('OK')	image/jpeg	etag:%221a438-63c82345-d1f26574609796f4;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/operations/operation-1.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/operations/operation-1.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:15	1163699/1163699	---M--	200	added ('OK')	image/png	etag:%2211c1b3-63c82345-3319dba490812eda;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/bg/testimonial-bg.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/bg/testimonial-bg.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:16	28340/28340	---M--	200	added ('OK')	image/jpeg	etag:%226eb4-63c82345-1ae06e69c6356638;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/operations/operation-2.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/operations/operation-2.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:16	152712/152712	---M--	200	added ('OK')	image/jpeg	etag:%2225488-63c82345-1d2517d9f69a16ec;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/operations/operation-3.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/operations/operation-3.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:16	54055/54055	---M--	200	added ('OK')	image/jpeg	etag:%22d327-63c82345-a2b3ee0e597904c2;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/operations/operation-4.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/operations/operation-4.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:17	36817/36817	---M--	200	added ('OK')	image/jpeg	etag:%228fd1-63c82345-ce2524e9998a46d7;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/operations/operation-5.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/operations/operation-5.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:17	12067/12067	---M--	200	added ('OK')	image/png	etag:%222f23-63c82345-4ed07ef06b61e31d;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/shape/circle-white.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/shape/circle-white.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:17	88354/88354	---M--	200	added ('OK')	image/jpeg	etag:%2215922-63c82345-9f451f96f85e36ac;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/blog/blog-group-thumb.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/blog/blog-group-thumb.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:17	113126/113126	---M--	200	added ('OK')	image/jpeg	etag:%221b9e6-63c82345-7fd1cabc2982503d;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/blog/blog-group-thumb-2.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/blog/blog-group-thumb-2.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:18	28281/28281	---M--	200	added ('OK')	image/jpeg	etag:%226e79-63c82345-ac04e6bd9ca7694c;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/blog/blog-group-thumb-3.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/blog/blog-group-thumb-3.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:19	173776/173776	---M--	200	added ('OK')	image/jpeg	etag:%222a6d0-63c82345-c4c6231e89b47511;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/bg/page-title-bg.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/bg/page-title-bg.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/about.html)
15:29:19	63976/63976	---M--	200	added ('OK')	image/jpeg	etag:%22f9e8-63c82345-e9750743d93b7b1a;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/service/service1.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/service/service1.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/services.html)
